date,price,crypto_id,currency
2024-07-02 00:00:00,62819.82226921849,bitcoin,usd
2024-07-03 00:00:00,62042.5650371006,bitcoin,usd
2024-07-04 00:00:00,60244.68076433092,bitcoin,usd
2024-07-05 00:00:00,57189.17412408636,bitcoin,usd
2024-07-06 00:00:00,56739.86285107204,bitcoin,usd
2024-07-07 00:00:00,58230.4841542266,bitcoin,usd
2024-07-08 00:00:00,55880.3753776708,bitcoin,usd
2024-07-09 00:00:00,56665.140733520275,bitcoin,usd
2024-07-10 00:00:00,57988.30351208401,bitcoin,usd
2024-07-11 00:00:00,57704.202284462874,bitcoin,usd
2024-07-12 00:00:00,57388.192479166675,bitcoin,usd
2024-07-13 00:00:00,57899.28895749592,bitcoin,usd
2024-07-14 00:00:00,59152.71913887286,bitcoin,usd
2024-07-15 00:00:00,60942.32773996293,bitcoin,usd
2024-07-16 00:00:00,64835.48973321571,bitcoin,usd
2024-07-17 00:00:00,65162.23625234354,bitcoin,usd
2024-07-18 00:00:00,64136.31384360687,bitcoin,usd
2024-07-19 00:00:00,63959.56900809379,bitcoin,usd
2024-07-20 00:00:00,66689.54880734957,bitcoin,usd
2024-07-21 00:00:00,67206.06470614894,bitcoin,usd
2024-07-22 00:00:00,68088.13996324532,bitcoin,usd
2024-07-23 00:00:00,67607.71339918874,bitcoin,usd
2024-07-24 00:00:00,65942.41746522837,bitcoin,usd
2024-07-25 00:00:00,65403.53513022529,bitcoin,usd
2024-07-26 00:00:00,65749.96361965332,bitcoin,usd
2024-07-27 00:00:00,67920.2964857025,bitcoin,usd
2024-07-28 00:00:00,68055.40838968738,bitcoin,usd
2024-07-29 00:00:00,68242.2474440493,bitcoin,usd
2024-07-30 00:00:00,66770.32091848266,bitcoin,usd
2024-07-31 00:00:00,66219.05102486102,bitcoin,usd
2024-08-01 00:00:00,64679.778647032515,bitcoin,usd
2024-08-02 00:00:00,65357.52960767435,bitcoin,usd
2024-08-03 00:00:00,61407.29547397454,bitcoin,usd
2024-08-04 00:00:00,60738.7449250574,bitcoin,usd
2024-08-05 00:00:00,58006.206586686734,bitcoin,usd
2024-08-06 00:00:00,53956.26184159744,bitcoin,usd
2024-08-07 00:00:00,55959.84107399357,bitcoin,usd
2024-08-08 00:00:00,55099.95181146735,bitcoin,usd
